Date,SCHD,SPY,QQQ,QLD,UPRO,TQQQ,TLT,IEF,SHY,IAU,SGOV
1980-07-23,154.90922775301135,173.00560677285856,292.7837493720986,848.0565603368847,526.8558232639153,2459.3774990339502,92.52437173308718,96.68490835936544,99.42316442246828,269.95170652216916,149.8873049882087
1980-07-24,154.76810086198816,172.8082285498277,292.96376327684925,849.0944888093487,525.0357349498067,2463.8880119157625,92.27859114121613,96.57338592389303,99.40347600817549,272.9362184131415,149.93493660960894
1980-07-25,153.74896823462055,171.38423346464688,292.44170015145454,846.0861049582011,512.0293127739856,2450.8220790462287,92.14324876405512,96.51190279819653,99.39261358746995,277.96190720334573,149.98367869925048
1980-07-28,154.40504687550666,172.30067482721728,293.1438093349095,850.1332344142023,520.374777270881,2468.4048259325687,91.8484632547013,96.37781091803221,99.36890324661915,276.1020890611644,150.03268012057725
1980-07-29,155.38276956874202,173.66822771484183,295.0164389129178,860.9745152402404,532.9969819984216,2515.710132906836,91.87509517134723,96.38993523232475,99.3710482106382,272.19053580369695,150.08267181434167
1980-07-30,155.21153422649735,173.42856139035635,297.3039123912929,874.3101941963218,530.7702524560486,2574.307601975331,91.61025508051989,96.26927682266727,99.34969205468146,271.6310795178282,150.13322837126668
1980-07-31,154.64710497437287,172.6390414544851,296.36721414219295,868.837034076125,523.4789640109021,2550.204074554956,91.06456025891379,96.02003977429727,99.30550758654343,273.8679067222358,150.1842894166815
1980-08-01,154.1830702162761,171.99049719108265,297.59215661636927,875.9978554324066,517.5400560250035,2581.7551724595987,91.06456025891379,96.02003977429727,99.30550758654343,273.12259290552544,150.23683070009864
1980-08-04,153.95092026995525,171.66622455619884,296.5113155335051,869.677910591997,514.587604156643,2553.9023502437212,91.29672005554188,96.12617795810212,99.32433524749268,276.8462335411543,150.2898781594694
1980-08-05,153.70856953762632,171.32783488919011,297.6462002883306,876.3144597400519,511.5186761957637,2583.153129173181,91.29672005554188,96.12617795810212,99.32433524749268,276.66022462896115,150.34257837433537
1980-08-06,154.5260921180753,172.46986405159882,299.3218147733579,886.158958594099,521.9253783305866,2626.7465132414864,91.06456025891379,96.02003977429727,99.30550758654343,278.3336541089031,150.39578520688818
1980-08-07,156.28850415260845,174.93702995769286,302.5480790292874,905.267847796814,544.8897357463743,2712.0536477187193,91.19322498766314,96.07888126187812,99.31594750017285,279.0769321927371,150.44797320927853
1980-08-08,156.60015970947393,175.37404396343038,303.7019513664468,912.1513732512246,549.0267672304357,2743.0049158653405,90.75890958368163,95.88006937186054,99.28065211212666,275.72990783227925,150.49914130095263
1980-08-11,157.77496478550103,177.02336699817042,305.92006469041405,925.4565805880793,564.8298325128014,2803.1607829787345,90.30855522265223,95.67334588701935,99.24388781265614,266.7754124043726,150.55179273385443
1980-08-12,156.78104860062206,175.62779325183106,305.036331221338,920.1440762617514,551.4385388846373,2779.089723919954,90.45760856649557,95.74182943728049,99.25607440721718,270.5116653231882,150.60574573199463
1980-08-13,156.2683873310841,174.90882902018328,305.7577466127513,924.4796757335891,544.6234889967398,2798.729231083376,90.68318084159395,95.84534873717318,99.27448188568214,271.2580158772834,150.658556708072
1980-08-14,158.24625527518631,177.6858905108241,308.8966504733384,943.4620503326436,571.2626812856848,2885.2553685466623,90.7842128202456,95.89166691821451,99.28271270719523,275.8787890560855,150.71083589333517
1980-08-15,158.71718044274144,178.3483981711225,310.9358784443991,955.897034170172,577.7442875168888,2942.4099219382883,90.88572908261885,95.9381777378921,99.29097444754191,271.2580158772834,150.7625215527386
1980-08-18,156.37899849204317,175.06390154917273,306.1545489190973,926.8687208527091,546.088617009006,2809.5708202694755,90.40780696104828,95.71895486961004,99.25200469907423,273.30894896643156,150.81477562658642
