Date,IAU,IEF,QLD,QQQ,SCHD,SGOV,SHY,SPY,TLT,TQQQ,UPRO
1993-07-08,,,,,,,,25.328418731689453,,,
1993-07-09,,,,,,,,25.399017333984375,,,
1993-07-12,,,,,,,,25.381372451782227,,,
1993-07-13,,,,,,,,25.363725662231445,,,
1993-07-14,,,,,,,,25.451980590820312,,,
1993-07-15,,,,,,,,25.3460636138916,,,
1993-07-16,,,,,,,,25.27545928955078,,,
1993-07-19,,,,,,,,25.2578182220459,,,
1993-07-20,,,,,,,,25.328418731689453,,,
1993-07-21,,,,,,,,25.310752868652344,,,
1993-07-22,,,,,,,,25.13425636291504,,,
1993-07-23,,,,,,,,25.2578182220459,,,
1993-07-26,,,,,,,,25.399017333984375,,,
1993-07-27,,,,,,,,25.381372451782227,,,
1993-07-28,,,,,,,,25.328418731689453,,,
1993-07-29,,,,,,,,25.469629287719727,,,
1993-07-30,,,,,,,,25.328418731689453,,,
1993-08-02,,,,,,,,25.399017333984375,,,
1993-08-03,,,,,,,,25.416675567626953,,,
1993-08-04,,,,,,,,25.416675567626953,,,
1993-08-05,,,,,,,,25.363725662231445,,,
1993-08-06,,,,,,,,25.399017333984375,,,
1993-08-09,,,,,,,,25.540233612060547,,,
1993-08-10,,,,,,,,25.522579193115234,,,
1993-08-11,,,,,,,,25.522579193115234,,,
1993-08-12,,,,,,,,25.451980590820312,,,
1993-08-13,,,,,,,,25.487272262573242,,,
1993-08-16,,,,,,,,25.62847137451172,,,
1993-08-17,,,,,,,,25.716718673706055,,,
1993-08-18,,,,,,,,25.85793685913086,,,
1993-08-19,,,,,,,,25.85793685913086,,,
1993-08-20,,,,,,,,25.87559700012207,,,
1993-08-23,,,,,,,,25.822635650634766,,,
1993-08-24,,,,,,,,26.105030059814453,,,
1993-08-25,,,,,,,,26.122690200805664,,,
1993-08-26,,,,,,,,26.140321731567383,,,
1993-08-27,,,,,,,,26.122690200805664,,,
1993-08-30,,,,,,,,26.228593826293945,,,
1993-08-31,,,,,,,,26.299190521240234,,,
1993-09-01,,,,,,,,26.263877868652344,,,
1993-09-02,,,,,,,,26.175640106201172,,,
1993-09-03,,,,,,,,26.193273544311523,,,
1993-09-07,,,,,,,,26.016794204711914,,,
1993-09-08,,,,,,,,25.92852783203125,,,
1993-09-09,,,,,,,,25.981464385986328,,,
1993-09-10,,,,,,,,26.210941314697266,,,
1993-09-13,,,,,,,,26.228593826293945,,,
1993-09-14,,,,,,,,26.122690200805664,,,
1993-09-15,,,,,,,,26.193273544311523,,,
1993-09-16,,,,,,,,26.087387084960938,,,
1993-09-17,,,,,,,,26.036819458007812,,,
1993-09-20,,,,,,,,25.82366943359375,,,
1993-09-21,,,,,,,,25.73488998413086,,,
1993-09-22,,,,,,,,25.948007583618164,,,
1993-09-23,,,,,,,,26.09008026123047,,,
1993-09-24,,,,,,,,26.01905059814453,,,
1993-09-27,,,,,,,,26.303192138671875,,,
1993-09-28,,,,,,,,26.24993324279785,,,
1993-09-29,,,,,,,,26.1611270904541,,,
1993-09-30,,,,,,,,26.10785484313965,,,
1993-10-01,,,,,,,,26.23217010498047,,,
1993-10-04,,,,,,,,26.267683029174805,,,
1993-10-05,,,,,,,,26.23217010498047,,,
1993-10-06,,,,,,,,26.214399337768555,,,
1993-10-07,,,,,,,,26.143352508544922,,,
1993-10-08,,,,,,,,26.178897857666016,,,
1993-10-11,,,,,,,,26.23217010498047,,,
1993-10-12,,,,,,,,26.267683029174805,,,
1993-10-13,,,,,,,,26.267683029174805,,,
1993-10-14,,,,,,,,26.605133056640625,,,
1993-10-15,,,,,,,,26.747220993041992,,,
1993-10-18,,,,,,,,26.676170349121094,,,
1993-10-19,,,,,,,,26.480823516845703,,,
1993-10-20,,,,,,,,26.516338348388672,,,
1993-10-21,,,,,,,,26.480823516845703,,,
1993-10-22,,,,,,,,26.356477737426758,,,
1993-10-25,,,,,,,,26.427520751953125,,,
1993-10-26,,,,,,,,26.40976905822754,,,
1993-10-27,,,,,,,,26.427520751953125,,,
1993-10-28,,,,,,,,26.62290382385254,,,
1993-10-29,,,,,,,,26.62290382385254,,,
1993-11-01,,,,,,,,26.69393539428711,,,
1993-11-02,,,,,,,,26.676170349121094,,,
1993-11-03,,,,,,,,26.338733673095703,,,
1993-11-04,,,,,,,,26.054574966430664,,,
1993-11-05,,,,,,,,26.178897857666016,,,
1993-11-08,,,,,,,,26.214399337768555,,,
1993-11-09,,,,,,,,26.23217010498047,,,
1993-11-10,,,,,,,,26.427520751953125,,,
1993-11-11,,,,,,,,26.356477737426758,,,
1993-11-12,,,,,,,,26.480823516845703,,,
1993-11-15,,,,,,,,26.46305274963379,,,
1993-11-16,,,,,,,,26.587387084960938,,,
1993-11-17,,,,,,,,26.445297241210938,,,
1993-11-18,,,,,,,,26.374258041381836,,,
1993-11-19,,,,,,,,26.320964813232422,,,
1993-11-22,,,,,,,,26.1611270904541,,,
1993-11-23,,,,,,,,26.303192138671875,,,
1993-11-24,,,,,,,,26.40976905822754,,,
1993-11-26,,,,,,,,26.427520751953125,,,
1993-11-29,,,,,,,,26.320964813232422,,,
1993-11-30,,,,,,,,26.338733673095703,,,
1993-12-01,,,,,,,,26.374258041381836,,,
1993-12-02,,,,,,,,26.445297241210938,,,
1993-12-03,,,,,,,,26.551864624023438,,,
1993-12-06,,,,,,,,26.64065933227539,,,
1993-12-07,,,,,,,,26.62290382385254,,,
1993-12-08,,,,,,,,26.62290382385254,,,
1993-12-09,,,,,,,,26.534080505371094,,,
1993-12-10,,,,,,,,26.480823516845703,,,
1993-12-13,,,,,,,,26.64065933227539,,,
1993-12-14,,,,,,,,26.445297241210938,,,
1993-12-15,,,,,,,,26.40976905822754,,,
1993-12-16,,,,,,,,26.498580932617188,,,
1993-12-17,,,,,,,,26.644203186035156,,,
1993-12-20,,,,,,,,26.679973602294922,,,
1993-12-21,,,,,,,,26.590557098388672,,,
1993-12-22,,,,,,,,26.769393920898438,,,
1993-12-23,,,,,,,,26.75149917602539,,,
1993-12-27,,,,,,,,26.894556045532227,,,
1993-12-28,,,,,,,,26.948192596435547,,,
1993-12-29,,,,,,,,26.912437438964844,,,
1993-12-30,,,,,,,,26.80514907836914,,,
1993-12-31,,,,,,,,26.662094116210938,,,
1994-01-03,,,,,,,,26.590557098388672,,,
1994-01-04,,,,,,,,26.697856903076172,,,
1994-01-05,,,,,,,,26.75149917602539,,,
