Date,SCHD,SPY,QQQ,TQQQ,TLT,SGOV,IAU
1975-01-02,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1975-01-03,100.54334996691645,100.67908814754898,100.91223252857469,102.74379808439413,100.07670270467399,100.02801395106387,100.0
1975-01-06,100.95037188500471,101.18839034757696,101.7903792111363,105.43189701952609,100.19223158909733,100.05546718994178,99.84998453891056
1975-01-07,100.89386296203867,101.11765071942797,102.04871426998785,106.23148950411021,100.19223158909733,100.08268422808672,99.34969684944372
1975-01-08,99.78470974017434,99.73118026037298,101.37709212207669,104.16103471182967,100.3083347148173,100.10913663108533,101.34868030368122
1975-01-09,101.0633567349378,101.32985785846228,102.87558548255767,108.81787296819161,100.62078915561234,100.13571795865867,101.79766169494772
1975-01-10,102.68679466985166,103.36688484491728,105.15093927173498,116.15022922187698,100.6995579148116,100.16234699934479,103.29220545055455
1975-01-13,102.34912255951365,102.9425220468382,104.54742169563485,114.17437593270705,100.3860583189161,100.18934911511037,101.94725838735378
1975-01-14,101.63908703071844,102.05133651054254,104.15090435304376,112.88845555898146,100.3860583189161,100.21676527945633,101.94725838735378
1975-01-15,102.15765193868644,102.70204984889789,105.46137922651242,117.17536803269928,100.23086857772834,100.24341587301535,101.29877571949652
1975-01-16,102.05625083533275,102.57474338447695,107.06594222849604,122.56992727397335,100.3083347148173,100.27048054248647,100.19996993706543
1975-01-17,100.82604841517386,101.03277138102118,106.37568138473925,120.22948068355097,100.34716423905172,100.29690116136649,98.6987766383528
1975-01-20,100.96167441825685,101.20254039376691,106.4447002075664,120.46215268809671,100.19223158909733,100.32251433029693,100.74958977748723
1975-01-21,100.5320353662315,100.66493763025699,105.99611861951152,118.95525750781948,100.3083347148173,100.34866354286788,99.49982138635922
1975-01-22,101.70676181069152,102.13621038558726,105.89261634192304,118.60935600885443,100.3083347148173,100.37408622258093,99.79997213307685
1975-01-23,102.0787837850182,102.60303020006043,106.53096654744544,120.75338892550174,100.03831981984148,100.39923007958865,100.84947395102071
1975-01-24,103.10286327294833,103.89024879267963,108.06714365145133,126.01817771580525,99.96174306229919,100.42201603296081,102.3958579940628
1975-01-27,105.78014950624497,107.27046701054113,110.93486281893851,136.25035290773994,100.0,100.44439944422979,101.04919934039451
1975-01-28,106.51640248041994,108.20378961591612,112.45638036087209,141.89661624506653,100.03831981984148,100.4671140880767,100.64969126031222
1975-01-29,107.88504894170072,109.94304120847485,114.46337066989258,149.57934258050963,100.07670270467399,100.49020097556894,102.19651560418941
1975-01-30,106.71697313637848,108.45832511822174,114.30759545484584,148.97337849512823,100.34716423905172,100.51374195770919,101.79766169494772
1975-01-31,107.57388343341374,109.54713245200787,115.6752048530852,154.34939133303774,100.46404090582952,100.53712522021847,101.64803315721515
1975-02-03,108.50668954230404,110.73483129832313,117.32071780612578,160.98680377573436,100.58150372640931,100.56030983212094,101.79766169494772
1975-02-04,108.2736818424728,110.43791428779974,116.2813254713377,156.77267582213042,100.58150372640931,100.58341813557278,101.29877571949652
1975-02-05,109.7582993099276,112.33244327941536,117.90986911247691,163.40855457190705,100.77859184977471,100.60628672793972,100.99927335705377
1975-02-06,109.3267439323839,111.78107118576239,118.58582119079364,166.21678583772479,100.85789254189534,100.62854782731566,100.79953365606322
1975-02-07,109.4042345673498,111.88003641428463,117.99652584129427,163.7667927952233,100.97734724245038,100.65142668034524,101.29877571949652
1975-02-10,109.10526668853957,111.49831337076598,117.47665269952424,161.62544854528275,100.77859184977471,100.67488283797326,100.44985112154284
1975-02-11,109.34889038012754,111.80935318637921,117.49398375069784,161.6965331355226,100.85789254189534,100.6987123280727,101.04919934039451
1975-02-12,110.82977438826515,113.70373335561888,118.81117072188407,167.16007489935595,102.37684716191153,100.72201597054861,101.04919934039451
1975-02-13,112.03063915491904,115.24454462270073,121.04836360499233,176.71838361890758,100.54228400419258,100.74532500594098,101.04919934039451
1975-02-14,112.56939507835007,115.93715416600344,121.70772763608002,179.60319716502843,100.97734724245038,100.76831221459067,100.6215149171594
1975-02-18,111.94261342768333,115.13145989902638,120.33713237408854,173.6413457077122,101.1777949875949,100.79060916525965,100.85914980490118
1975-02-19,112.5034630161992,115.8523493456043,121.03102373859187,176.64293768011464,101.1777949875949,100.81237907671301,100.95418104953455
1975-02-20,113.3488708026189,116.94068725622988,122.26309215358353,182.05713827711023,101.1777949875949,100.834071830633,101.95123002252518
1975-02-21,113.79836793885718,117.52017299322193,122.62760740528319,183.67983994688277,101.42060231032045,100.85548268197957,101.14420469318792
1975-02-24,112.5034630161992,115.8523493456043,121.499488821515,178.68876733654037,101.09741117943707,100.87661144841233,101.57156909151797
1975-02-25,110.39929774349208,113.1524043137303,119.64341166871999,170.67456731824444,100.9374615861261,100.89839993562491,100.3837987228728
1975-02-26,111.325950778506,114.33986839755137,119.93821775806836,171.93118970025404,100.7390416368016,100.9206847059807,100.764105590752
1975-02-27,111.76650857531732,114.90528831179401,120.44120058941962,174.08933995211683,100.81820875182537,100.9437119267105,99.47973127140841
1975-02-28,112.66827456941084,116.06436065002931,121.25656940149784,177.62596201974645,100.85789254189534,100.96649850265975,99.71775870820291
1975-03-03,114.2474008991613,118.09962960463871,122.69704601948135,183.99004348293127,100.7390416368016,100.98863434389776,99.52734335158438
1975-03-04,114.82719137509446,118.84866176318012,123.35677648154197,186.9546448116234,100.62078915561234,101.0115540646113,96.85592673187001
1975-03-05,115.1987416494347,119.32916370462027,122.81856431692827,184.53374022995882,100.77859184977471,101.03460201913602,97.66800774382331
