% # columns="iteration, evaluation, void, void, void, xmean", seed=299624, Mon Nov  6 15:06:18 2023, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 160 0 0 0 699363.6784242104 0.5161021172039255 8.748575498234212
2 320 0 0 0 698149.1998370998 0.5364798102043112 8.839066925388156
3 480 0 0 0 698405.7392113017 0.5497259536545362 8.88145219009877
4 640 0 0 0 697745.3902351323 0.5427446579505378 9.186586996695032
5 800 0 0 0 697493.3032989308 0.5417816626113948 9.321284866310311
6 960 0 0 0 695021.1364598052 0.5459172980763666 9.319578755348584
7 1120 0 0 0 694287.930768172 0.5564439599207343 9.616899965582094
8 1280 0 0 0 693637.6603836716 0.557560607044941 10.229848593206645
9 1440 0 0 0 693765.8850899978 0.5699013767948218 11.104604955436471
10 1600 0 0 0 693580.3349694661 0.5843688478639686 12.398130287986033
11 1760 0 0 0 693532.3262606973 0.6345918117355854 13.01559709219429
12 1920 0 0 0 693564.7547093263 0.7569366016837541 13.331437434058019
13 2080 0 0 0 693595.9518623666 0.9226801128303405 13.679819810730743
14 2240 0 0 0 693595.9344646047 0.9851196827213151 13.681401570461038
15 2400 0 0 0 693559.1951935597 0.9996125136147898 13.755100151849279
16 2560 0 0 0 693538.7309027022 0.9965002413497217 13.689318466279495
17 2720 0 0 0 693534.6688338877 0.9905632119184787 13.691725631643012
18 2880 0 0 0 693528.817944642 0.9922282426206201 13.72922673610589
19 3040 0 0 0 693527.9884590451 0.9934498213643274 13.71513117557589
20 3200 0 0 0 693526.8747108082 0.9950194169873714 13.697200880552678
21 3360 0 0 0 693526.3854714445 0.9950916884482768 13.700017681790287
22 3520 0 0 0 693525.9999695587 0.9951332890131696 13.69734223777516
23 3680 0 0 0 693526.4526944844 0.9949456116123732 13.699222338391436
24 3840 0 0 0 693526.4448140577 0.9948873501074833 13.699349619652354
25 4000 0 0 0 693526.4034621054 0.9949516960669632 13.699966404893352
26 4160 0 0 0 693526.414300261 0.9949864483966385 13.700070464392809
27 4320 0 0 0 693526.4092611937 0.9949966965789756 13.700021561717167
28 4480 0 0 0 693526.4151296115 0.9949945746392096 13.7000507994484
29 4640 0 0 0 693526.4179891982 0.9949984710604551 13.700006658763643
30 4800 0 0 0 693526.4194695157 0.9949993956683777 13.700000854331048
31 4960 0 0 0 693526.4197322533 0.9950006266987165 13.699999118440246
32 5120 0 0 0 693526.4198545483 0.9950005977367938 13.699999778380047
33 5280 0 0 0 693526.4195432161 0.9950001499276976 13.69999887330407
